Year,Country of origin,Country of origin (ISO),Continent of Origin,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Economic Growth (from prior year),Population,% <$1.90 a day,% of Famine,Maternal Mortality (Deaths),Maternal Mortality per 100k,Suicide Mortality per 100k,Life Expectancy (Year),% Male (Pop),% Rural Population,Death Rate (Crude) per 1k,Birth Rate (Crude) Per 1k,Natural Increase (Crude) per 1k,% Crop Production to '14-16 ,Gov Education Budget (% of),Country of asylum,Country of asylum (ISO),Authority,Stage of procedure,Cases / Persons,Recognized decisions,Complementary protection,Rejected decisions,Otherwise closed,Total decisions
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 47,812,949 ",0.6%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,United States of America,USA,G,EO,P,36,0,22,72,130
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 47,812,949 ",0.6%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,United States of America,USA,G,EO,P,53,0,40,71,164
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 47,812,949 ",0.6%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,United States of America,USA,G,EO,P,43,11,30,63,147
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 47,812,949 ",0.6%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,United States of America,USA,G,EO,P,36,0,16,102,154
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,United States of America,USA,G,EO,P,54,0,21,109,184
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,United States of America,USA,G,EO,P,38,0,33,27,98
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,United States of America,USA,G,EO,P,53,0,38,23,114
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,United States of America,USA,G,EO,P,68,0,55,15,138
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,United States of America,USA,G,EO,P,5,0,21,24,50
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,United States of America,USA,G,EO,P,37,0,15,22,74
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Austria,AUT,G,FA,P,5,0,20,45,70
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Italy,ITA,G,FA,P,5,0,5,0,10
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,812,949 ",0.6%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Austria,AUT,G,FA,P,5,0,42,0,47
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,812,949 ",0.6%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Italy,ITA,G,FA,P,5,5,28,0,38
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,812,949 ",0.6%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Austria,AUT,G,FA,P,10,0,66,195,271
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,812,949 ",0.6%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Austria,AUT,G,FA,P,10,0,91,0,101
2003,Ukraine,UKR,Europe,0,0,0,9.5%," 47,812,949 ",0.6%,2.5%,130 ,32 ,35 ,68 ,46%,33%,16.00,8.50,-7.50,53%,14%,Italy,ITA,G,FA,P,5,0,29,0,34
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Austria,AUT,G,FA,P,18,10,75,139,242
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Finland,FIN,G,FA,P,0,0,15,0,15
2004,Ukraine,UKR,Europe,0,0,0,11.8%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.00,9.00,-7.00,63%,13%,Italy,ITA,G,FA,P,5,0,22,0,27
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Austria,AUT,G,FA,P,32,13,138,152,335
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Bosnia and Herzegovina,BIH,G,FA,P,0,0,5,0,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Finland,FIN,G,FA,P,0,0,5,5,10
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Romania,ROU,G,FA,P,0,0,5,0,5
2005,Ukraine,UKR,Europe,0,0,0,3.1%," 47,812,949 ",0.6%,2.5%,140 ,33 ,34 ,68 ,46%,32%,16.60,9.00,-7.60,63%,14%,Spain,ESP,G,FA,P,0,0,19,11,30
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,812,949 ",0.6%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Austria,AUT,G,FA,P,20,10,107,95,232
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,812,949 ",0.6%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Greece,GRC,G,FA,P,0,0,15,41,56
2006,Ukraine,UKR,Europe,0,0,0,7.6%," 47,812,949 ",0.6%,2.5%,140 ,31 ,31 ,68 ,46%,32%,16.20,9.80,-6.40,63%,14%,Italy,ITA,G,FA,P,0,27,37,0,64
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 47,812,949 ",0.6%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Austria,AUT,G,FA,P,20,10,127,58,215
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 47,812,949 ",0.6%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Canada,CAN,G,FA,P,65,0,27,27,119
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 47,812,949 ",0.6%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Romania,ROU,G,FA,P,0,0,5,0,5
2007,Ukraine,UKR,Europe,0,0,0,8.2%," 47,812,949 ",0.6%,2.5%,150 ,33 ,32 ,68 ,46%,32%,16.40,10.20,-6.20,57%,14%,Spain,ESP,G,FA,P,0,0,15,0,15
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 47,812,949 ",0.6%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Austria,AUT,G,FA,P,33,25,204,81,343
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 47,812,949 ",0.6%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Austria,AUT,G,FA,P,13,26,259,41,339
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 47,812,949 ",0.6%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Hungary,HUN,G,FA,P,0,0,0,5,5
2009,Ukraine,UKR,Europe,0,0,0,-15.1%," 47,812,949 ",0.6%,2.5%,140 ,27 ,26 ,69 ,46%,31%,15.30,11.10,-4.20,74%,15%,Romania,ROU,G,FA,P,0,0,5,0,5
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 47,812,949 ",0.6%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Austria,AUT,G,FA,P,14,15,194,27,250
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 47,812,949 ",0.6%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Georgia,GEO,G,FA,P,0,0,5,0,5
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 47,812,949 ",0.6%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Rep. of Moldova,MDA,G,FA,P,0,0,5,0,5
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 47,812,949 ",0.6%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Romania,ROU,G,FA,P,0,0,10,0,10
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 47,812,949 ",0.6%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Austria,AUT,G,FA,P,11,20,152,19,202
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 47,812,949 ",0.6%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Rep. of Moldova,MDA,G,FA,P,0,0,12,0,12
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 47,812,949 ",0.6%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Romania,ROU,G,FA,P,0,0,5,0,5
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 47,812,949 ",0.6%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Austria,AUT,G,FA,P,10,0,55,10,75
2012,Ukraine,UKR,Europe,0,0,0,0.2%," 47,812,949 ",0.6%,2.5%,120 ,24 ,23 ,71 ,46%,31%,14.50,11.40,-3.10,84%,14%,Bulgaria,BGR,G,FA,P,0,0,0,5,5
2013,Ukraine,UKR,Europe,0,0,0,0.0%," 47,812,949 ",0.6%,2.5%,110 ,23 ,23 ,71 ,46%,31%,14.60,11.10,-3.50,100%,14%,Austria,AUT,G,FA,P,0,10,68,10,88
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 47,812,949 ",0.6%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Austria,AUT,G,FA,P,22,10,115,47,194
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 47,812,949 ",0.6%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Hungary,HUN,G,FA,P,0,5,5,21,31
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 47,812,949 ",0.6%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Rep. of Korea,KOR,G,FA,P,0,5,5,0,10
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 47,812,949 ",0.6%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,Montenegro,MNE,G,FA,P,0,0,0,5,5
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Austria,AUT,G,FA,P,22,22,67,125,236
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Hungary,HUN,G,FA,P,5,0,5,20,30
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Rep. of Korea,KOR,G,FA,P,0,0,14,0,14
2016,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,89 ,20 ,21 ,71 ,46%,31%,14.70,10.30,-4.40,104%,12%,Montenegro,MNE,G,FA,P,0,0,5,0,5
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Austria,AUT,G,FA,P,10,13,247,183,453
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Bulgaria,BGR,G,FA,P,0,0,24,5,29
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Israel,ISR,G,FA,P,0,0,949,1876,2825
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Rep. of Korea,KOR,G,FA,P,0,0,0,13,13
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Montenegro,MNE,G,FA,P,0,0,5,5,10
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Slovakia,SVK,G,FA,P,0,12,5,0,17
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,812,949 ",0.6%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Slovenia,SVN,G,FA,P,0,0,5,0,5
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Austria,AUT,G,FA,P,23,25,260,74,382
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Bulgaria,BGR,G,FA,P,0,0,5,14,19
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Ecuador,ECU,G,FA,P,14,0,0,0,14
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Israel,ISR,G,FA,P,0,0,2575,2840,5415
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Rep. of Korea,KOR,G,FA,P,0,0,5,14,19
2018,Ukraine,UKR,Europe,0,0,0,3.5%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.80,8.70,-6.10,111%,13%,Slovakia,SVK,G,FA,P,0,0,5,0,5
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Austria,AUT,G,FA,P,12,10,363,47,432
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Bulgaria,BGR,G,FA,P,0,0,5,0,5
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Israel,ISR,G,FA,P,0,5,1038,2391,3434
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,812,949 ",0.6%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Rep. of Korea,KOR,G,FA,P,0,0,11,13,24
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Austria,AUT,G,FA,P,10,5,175,19,209
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Bulgaria,BGR,G,FA,P,0,0,11,0,11
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Israel,ISR,G,FA,P,0,23,1746,1686,3455
2020,Ukraine,UKR,Europe,0,0,0,-3.8%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,71 ,46%,30%,15.90,7.80,-8.10,0%,13%,Rep. of Korea,KOR,G,FA,P,0,0,19,26,45
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Austria,AUT,G,FA,P,11,22,100,20,153
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Bulgaria,BGR,G,FA,P,0,0,0,5,5
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Cyprus,CYP,G,FA,P,0,0,10,31,41
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Israel,ISR,G,FA,P,0,0,846,568,1414
2021,Ukraine,UKR,Europe,0,0,0,3.4%," 47,812,949 ",0.6%,2.5%,0 ,0 ,0 ,0 ,46%,30%,0.00,0.00,0.00,0%,0%,Rep. of Korea,KOR,G,FA,P,0,0,13,0,13
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Australia,AUS,G,FI,C,5,0,163,0,168
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Czechia,CZE,G,FI,C,5,0,223,121,349
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,812,949 ",0.6%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,C,15,35,760,285,1095
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,812,949 ",0.6%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Australia,AUS,G,FI,C,0,0,108,5,113
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,812,949 ",0.6%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Czechia,CZE,G,FI,C,5,0,2440,86,2531
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,812,949 ",0.6%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,C,10,25,825,290,1150
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,812,949 ",0.6%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,Czechia,CZE,G,FI,C,0,0,1750,1391,3141
2002,Ukraine,UKR,Europe,0,0,0,5.3%," 47,812,949 ",0.6%,2.5%,130 ,33 ,36 ,68 ,46%,33%,15.70,8.10,-7.60,55%,14%,United Kingdom of Great Britain and Northern Ireland,GBR,G,FI,C,0,10,255,45,310
2008,Ukraine,UKR,Europe,0,0,0,2.2%," 47,451,626 ",0.5%,2.5%,160 ,33 ,31 ,68 ,46%,32%,16.30,11.00,-5.30,80%,14%,Argentina,ARG,G,FI,C,5,0,0,0,5
2010,Ukraine,UKR,Europe,0,0,0,4.1%," 47,451,626 ",0.5%,2.5%,120 ,25 ,25 ,70 ,46%,31%,15.20,10.80,-4.40,70%,0%,Bulgaria,BGR,G,FI,C,0,0,5,0,5
2011,Ukraine,UKR,Europe,0,0,0,5.4%," 47,451,626 ",0.5%,2.5%,120 ,23 ,23 ,71 ,46%,31%,14.50,11.00,-3.50,92%,13%,Slovakia,SVK,G,FI,C,0,0,0,5,5
2014,Ukraine,UKR,Europe,0,0,0,-10.1%," 47,451,626 ",0.5%,2.5%,110 ,24 ,24 ,71 ,46%,31%,14.70,10.80,-3.90,100%,13%,New Zealand,NZL,G,FI,C,0,0,5,0,5
2015,Ukraine,UKR,Europe,0,0,0,-9.8%," 47,451,626 ",0.5%,2.5%,97 ,21 ,22 ,71 ,46%,31%,14.90,10.70,-4.20,96%,13%,New Zealand,NZL,G,FI,C,0,0,5,0,5
2017,Ukraine,UKR,Europe,0,0,0,2.4%," 47,451,626 ",0.5%,2.5%,83 ,19 ,21 ,72 ,46%,31%,14.50,9.40,-5.10,101%,13%,Finland,FIN,G,FI,C,0,0,21,27,48
2019,Ukraine,UKR,Europe,0,0,0,3.2%," 47,451,626 ",0.5%,2.5%,0 ,0 ,22 ,72 ,46%,31%,14.70,8.10,-6.60,113%,13%,Finland,FIN,G,FI,C,5,0,29,12,46
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Belgium,BEL,G,FI,P,0,0,23,0,23
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Belarus,BLR,G,FI,P,0,0,0,5,5
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Bulgaria,BGR,G,FI,P,0,0,5,0,5
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Canada,CAN,G,FI,P,172,0,117,116,405
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Denmark,DNK,G,FI,P,0,0,49,0,49
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Finland,FIN,G,FI,P,0,5,0,10,15
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,France,FRA,G,FI,P,48,0,470,0,518
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Hungary,HUN,G,FI,P,5,0,33,5,43
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Iceland,ISL,G,FI,P,0,0,12,0,12
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Ireland,IRL,G,FI,P,5,0,95,34,134
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Netherlands,NLD,G,FI,P,0,10,0,284,294
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Norway,NOR,G,FI,P,0,0,38,5,43
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Poland,POL,G,FI,P,0,0,36,13,49
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Spain,ESP,G,FI,P,10,10,21,213,254
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Slovakia,SVK,G,FI,P,0,0,5,0,5
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Sweden,SWE,G,FI,P,0,0,69,5,74
2000,Ukraine,UKR,Europe,0,0,0,5.9%," 47,451,626 ",0.5%,2.5%,140 ,35 ,39 ,68 ,47%,33%,15.40,7.80,-7.60,49%,11%,Switzerland,CHE,G,FI,P,0,0,47,57,104
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Belgium,BEL,G,FI,P,0,0,19,0,19
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Canada,CAN,G,FI,P,130,0,112,110,352
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Denmark,DNK,G,FI,P,0,0,54,0,54
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Finland,FIN,G,FI,P,0,5,77,83,165
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,France,FRA,G,FI,P,12,0,787,0,799
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Greece,GRC,G,FI,P,0,0,10,0,10
2001,Ukraine,UKR,Europe,0,0,0,8.8%," 47,451,626 ",0.5%,2.5%,130 ,33 ,37 ,68 ,47%,33%,15.30,7.70,-7.60,55%,13%,Hungary,HUN,G,FI,P,0,0,21,0,21
